price,beds,baths,living space,city,state,zip code population,median household income,property_per_100_000,violence_per_100_000,affordability
999312.0,4.0,4.0,2100.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
869000.0,4.0,3.0,2548.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
499999.0,3.0,2.0,1510.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
688888.0,3.0,2.0,2112.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
608000.0,2.0,3.0,2176.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
478000.0,4.0,3.0,1524.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
449900.0,2.0,2.0,1082.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
499888.0,3.0,2.0,1890.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
899000.0,4.0,2.0,1884.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
479900.0,2.0,2.0,1138.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
549999.0,2.0,2.0,1158.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
749999.0,3.0,4.0,1450.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
685000.0,3.0,4.0,1632.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
799000.0,3.0,2.0,1092.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
749900.0,3.0,3.0,1987.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
1200000.0,4.0,3.0,2173.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
1089000.0,5.0,4.0,2552.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
608888.0,3.0,3.0,1500.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
725000.0,3.0,1.0,1440.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
710000.0,3.0,2.0,1528.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
638888.0,3.0,2.0,1410.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
869888.0,4.0,3.0,2800.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
1089000.0,5.0,4.0,2552.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
549000.0,3.0,2.0,1752.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
425000.0,2.0,1.0,907.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
995000.0,5.0,3.0,2484.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
834900.0,3.0,4.0,1542.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
569000.0,2.0,2.0,1812.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
549000.0,2.0,2.0,1500.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
899000.0,3.0,4.0,2208.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
799000.0,3.0,2.0,1092.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
449999.0,2.0,2.0,1480.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
599000.0,3.0,1.0,1050.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
449900.0,3.0,2.0,1286.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
710000.0,3.0,2.0,1500.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
569000.0,3.0,2.0,1260.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
1149000.0,4.0,2.0,2484.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,False
425000.0,2.0,1.0,1300.0,Staten Island,New York,93736.0,128456.0,1440.5,350.5,True
325000.0,1.0,1.0,805.0,Bronx,New York,50118.0,57674.0,1440.5,350.5,False
999999.0,6.0,3.0,2520.0,Bronx,New York,79838.0,52522.0,1440.5,350.5,False
159999.0,1.0,1.0,650.0,Bronx,New York,79838.0,52522.0,1440.5,350.5,True
979000.0,6.0,3.0,2280.0,Bronx,New York,38908.0,47549.0,1440.5,350.5,False
359000.0,3.0,2.0,1067.0,Bronx,New York,42781.0,52036.0,1440.5,350.5,False
69000.0,1.0,1.0,700.0,Bronx,New York,90314.0,48138.0,1440.5,350.5,True
375000.0,3.0,2.0,1067.0,Bronx,New York,90314.0,48138.0,1440.5,350.5,False
235000.0,2.0,1.0,1000.0,Bronx,New York,86757.0,56212.0,1440.5,350.5,False
130000.0,1.0,1.0,500.0,Bronx,New York,51303.0,61443.0,1440.5,350.5,True
595000.0,6.0,3.0,2646.0,Bronx,New York,51303.0,61443.0,1440.5,350.5,False
595000.0,6.0,3.0,2646.0,Bronx,New York,51303.0,61443.0,1440.5,350.5,False
649000.0,3.0,2.0,1700.0,Bronx,New York,52756.0,88061.0,1440.5,350.5,False
649000.0,4.0,2.0,1292.0,Bronx,New York,52756.0,88061.0,1440.5,350.5,False
968000.0,4.0,3.0,2600.0,Bronx,New York,52756.0,88061.0,1440.5,350.5,False
145000.0,1.0,1.0,680.0,Bronx,New York,52756.0,88061.0,1440.5,350.5,True
285000.0,2.0,1.0,850.0,Bronx,New York,78470.0,77474.0,1440.5,350.5,True
149000.0,1.0,1.0,550.0,Bronx,New York,78470.0,77474.0,1440.5,350.5,True
115000.0,1.0,1.0,750.0,Bronx,New York,78470.0,77474.0,1440.5,350.5,True
115000.0,1.0,1.0,750.0,Bronx,New York,78470.0,77474.0,1440.5,350.5,True
169000.0,1.0,2.0,800.0,Bronx,New York,78470.0,77474.0,1440.5,350.5,True
135000.0,1.0,1.0,700.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,True
135000.0,1.0,1.0,700.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,True
499000.0,4.0,2.0,1752.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,False
339000.0,1.0,1.0,800.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,True
